relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Boday/Julian Bashir,0,0,0,1,0,1
Bareil Antos/Morn,0,1,0,0,0,1
Bareil Antos/Benjamin Sisko/Elim Garak/Ezri Dax/Jadzia Dax/Julian Bashir/Kasidy Yates/Keiko O'Brien/Kira Nerys/Leeta/Miles O'Brien/Odo/Quark/Rom/Shakaar Edon/Worf,0,1,0,0,0,1
Curzon Dax/Elim Garak/Julian Bashir/Odo,0,1,0,0,0,1
Elim Garak/Julian Bashir/Quark,0,0,0,1,0,1
Curzon Dax/Elim Garak/Odo,0,1,0,0,0,1
Alexander Rozhenko/Jake Sisko/Nog,0,1,0,0,0,1
Ezri Dax/Kilana,0,1,0,0,0,1
Elim Garak/Ezri Dax,0,0,0,1,0,1
Elim Garak/Joseph Sisko,1,0,0,0,0,1
Elim Garak/Julian Bashir/Weyoun,0,0,1,0,0,1
Kela Idaris/non-cast,0,1,0,0,0,1
Ziranne Idaris/non-cast,0,1,0,0,0,1
Corat Damar/Elim Garak/non-cast,0,0,1,0,0,1
Julian Bashir/Winn Adami,0,1,0,0,0,1
Kira Nerys/Tekeny Ghemor,0,1,0,0,0,1
Alexander Rozhenko/Julian Bashir,0,1,0,0,0,1
Quark/Skrain Dukat,0,0,0,1,0,1
Julian Bashir/Martok/Sirella,0,0,0,1,0,1
Elim Garak/Richard Bashir,0,0,0,1,0,1
Benjamin Sisko/Captain Solok,0,1,0,0,0,1
Benjamin Sisko/Curzon Dax/non-cast,0,1,0,0,0,1
Kasidy Yates/Keiko O'Brien,0,1,0,0,0,1
Benjamin Sisko/Dax,0,1,0,0,0,1
Elim Garak/Kira Nerys/Worf,0,0,0,1,0,1
Ellis Gareth/Julian Bashir,0,0,1,0,0,1
Eris/Kilana,0,0,1,0,0,1
Deral/Julian Bashir,0,1,0,0,0,1
Pel/non-cast,0,0,0,1,0,1
Gor/Weyoun,0,0,0,1,0,1
Alexander Rozhenko/Ch'Targh,0,0,1,0,0,1
Ezri Dax/Nog,0,0,0,1,0,1
Curzon Dax/Julian Bashir/Odo,0,0,0,1,0,1
Julian Bashir/Lwaxana Troi,0,0,0,1,0,1
Elim Garak/Julian Bashir/Kaga,0,0,0,1,0,1
Benjamin Sisko/Kasidy Yates/Weyoun,1,0,0,0,0,1
Benjamin Sisko/Weyoun,1,0,0,0,0,1
Kasidy Yates/Weyoun,1,0,0,0,0,1
