relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage
Julian Bashir/Q,100.0,0.0,0.0,0.0,0.0,0.0
Jaro Essa/Winn Adami,100.0,0.0,0.0,0.0,0.0,0.0
Corat Damar/Skrain Dukat/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Grilka/Natima Lang,50.0,50.0,0.0,0.0,0.0,0.0
Ezri Dax/Jadzia Dax/Kira Nerys,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Kira Nerys/Odo,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Amsha Bashir/Richard Bashir,50.0,50.0,0.0,0.0,0.0,0.0
Keevan/Skrain Dukat,0.0,50.0,0.0,0.0,50.0,0.0
Dax/non-cast,50.0,50.0,0.0,0.0,0.0,0.0
Corat Damar/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Curzon Dax/Quark,100.0,0.0,0.0,0.0,0.0,0.0
Enabran Tain/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Kilana/non-cast,50.0,50.0,0.0,0.0,0.0,0.0
Jake Sisko/Kesha,100.0,0.0,0.0,0.0,0.0,0.0
Dax/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Kira Nerys/non-cast/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Ezri Dax,100.0,0.0,0.0,0.0,0.0,0.0
K'Ehleyr/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Keiko O'Brien/Miles O'Brien,50.0,50.0,0.0,0.0,0.0,0.0
Barkan Lokar/Elim Garak/Palandine,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Odo/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Ishka/Keldar,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004,0.0
Akellen Macet/Elim Garak,0.0,33.300000000000004,0.0,0.0,33.300000000000004,33.300000000000004
Corat Damar/Mila Garak,100.0,0.0,0.0,0.0,0.0,0.0
Morn/Quark,50.0,50.0,0.0,0.0,0.0,0.0
Ishka/Zek,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Lwaxana Troi,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Rom,50.0,50.0,0.0,0.0,0.0,0.0
Winn Adami/non-cast,50.0,50.0,0.0,0.0,0.0,0.0
Julian Bashir/Leeta/Rom,100.0,0.0,0.0,0.0,0.0,0.0
Leeta/Winn Adami,100.0,0.0,0.0,0.0,0.0,0.0
Gelnon/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Eris/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Deyos/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Julian Bashir/Kaga,100.0,0.0,0.0,0.0,0.0,0.0
Luaran/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
