relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Amsha Bashir/Elim Garak,0.0,0.0,0.0,100.0,0.0
Amsha Bashir/Elim Garak/Richard Bashir,0.0,0.0,0.0,100.0,0.0
Brunt/non-cast,0.0,0.0,0.0,100.0,0.0
Julian Bashir/Keiko O'Brien/Kira Nerys/Miles O'Brien,0.0,100.0,0.0,0.0,0.0
Corat Damar/Quark,0.0,0.0,100.0,0.0,0.0
Grilka/Lenara Kahn/non-cast,0.0,100.0,0.0,0.0,0.0
Jadzia Dax/Jennifer Sisko,0.0,100.0,0.0,0.0,0.0
Vash/non-cast,0.0,100.0,0.0,0.0,0.0
Borath/Weyoun,0.0,0.0,0.0,100.0,0.0
Emergency Medical Hologram Mark II/non-cast,0.0,100.0,0.0,0.0,0.0
Elim Garak/Quark/non-cast,100.0,0.0,0.0,0.0,0.0
Iliana Ghemor/Tora Ziyal,0.0,100.0,0.0,0.0,0.0
Ezri Dax/Vic Fontaine,0.0,100.0,0.0,0.0,0.0
Ezri Dax/Lauren,0.0,0.0,100.0,0.0,0.0
Leeta/Zek/non-cast,0.0,0.0,100.0,0.0,0.0
Corat Damar/Gul Rusot,0.0,0.0,0.0,100.0,0.0
Gowron/Julian Bashir,0.0,0.0,100.0,0.0,0.0
Elim Garak/Julian Bashir/Kira Nerys,0.0,100.0,0.0,0.0,0.0
Bareil Antos/Julian Bashir,0.0,100.0,0.0,0.0,0.0
Miles O'Brien/Worf,0.0,0.0,0.0,100.0,0.0
Jadzia Dax/Jadzia Dax,0.0,100.0,0.0,0.0,0.0
Lwaxana Troi/Odo/Quark,0.0,100.0,0.0,0.0,0.0
Lwaxana Troi/Quark,0.0,100.0,0.0,0.0,0.0
Elim Garak/Morn,100.0,0.0,0.0,0.0,0.0
Elim Garak/Worf/non-cast,0.0,100.0,0.0,0.0,0.0
Kimara Cretak/non-cast,0.0,100.0,0.0,0.0,0.0
Jack/non-cast,0.0,0.0,100.0,0.0,0.0
Benjamin Sisko/Jennifer Sisko/Kasidy Yates,100.0,0.0,0.0,0.0,0.0
Lauren/non-cast,100.0,0.0,0.0,0.0,0.0
Elim Garak/Luther Sloan,0.0,0.0,0.0,0.0,100.0
Odo/Skrain Dukat,0.0,0.0,0.0,0.0,100.0
Dax/Julian Bashir/Kira Nerys/Odo,0.0,0.0,0.0,0.0,100.0
Elim Garak/Opaka,0.0,100.0,0.0,0.0,0.0
Ishka/Jadzia Dax,0.0,100.0,0.0,0.0,0.0
Jennifer Sisko/Miles O'Brien,0.0,100.0,0.0,0.0,0.0
Bareil Antos/Winn Adami,0.0,100.0,0.0,0.0,0.0
Dax/Kira Nerys,0.0,100.0,0.0,0.0,0.0
Kira Nerys/Vic Fontaine,0.0,0.0,100.0,0.0,0.0
Elim Garak/Keevan,0.0,0.0,0.0,100.0,0.0
Martok/Sirella,100.0,0.0,0.0,0.0,0.0
Ezri Dax/Jadzia Dax/non-cast,0.0,0.0,0.0,0.0,100.0
Mareel/Verad,0.0,100.0,0.0,0.0,0.0
Alexander Rozhenko/Lauren,0.0,0.0,100.0,0.0,0.0
Boday/Jadzia Dax,0.0,100.0,0.0,0.0,0.0
Jake Sisko/Laira,0.0,100.0,0.0,0.0,0.0
Jake Sisko/Mardah,0.0,100.0,0.0,0.0,0.0
Jadzia Dax/Keiko O'Brien/Kira Nerys,0.0,0.0,100.0,0.0,0.0
Prinadora/Rom,0.0,100.0,0.0,0.0,0.0
Lela Dax/non-cast,0.0,0.0,0.0,100.0,0.0
Dax/Jadzia Dax,100.0,0.0,0.0,0.0,0.0
Deyos/Weyoun,0.0,0.0,0.0,0.0,100.0
Luaran/Yelgrun,0.0,0.0,0.0,0.0,100.0
Ezri Dax/Skrain Dukat,100.0,0.0,0.0,0.0,0.0
Julian Bashir/Kukalaka,0.0,0.0,100.0,0.0,0.0
Tekeny Ghemor/non-cast,0.0,0.0,100.0,0.0,0.0
Keevan/Weyoun/non-cast,0.0,0.0,0.0,100.0,0.0
Elim Garak/Winn Adami,0.0,0.0,100.0,0.0,0.0
Elim Garak/Julian Bashir/Miles O'Brien/non-cast/non-cast,0.0,100.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/non-cast/non-cast,0.0,100.0,0.0,0.0,0.0
Bareil Antos/Benjamin Sisko,0.0,0.0,0.0,100.0,0.0
Elim Garak/Kai Winn,0.0,0.0,0.0,100.0,0.0
Michael Eddington/Rebecca Sullivan,0.0,100.0,0.0,0.0,0.0
Deral/Jadzia Dax,100.0,0.0,0.0,0.0,0.0
Keiko O'Brien/Kira Nerys/Miles O'Brien/non-cast,0.0,100.0,0.0,0.0,0.0
Gowron/non-cast,0.0,0.0,0.0,100.0,0.0
Elim Garak/Procal Dukat,0.0,100.0,0.0,0.0,0.0
Skrain Dukat/Vreenak/non-cast,0.0,0.0,0.0,100.0,0.0
