relationshipspairslash,M/M,Gen,F/M,F/F,Multi,No category,Other
Benjamin Sisko/Miles O'Brien,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Weyoun/Weyoun,50.0,0.0,0.0,0.0,50.0,0.0,0.0
Pel/non-cast,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Corat Damar/Reader,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Dax/Garak,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Cox/non-cast,50.0,0.0,50.0,0.0,0.0,0.0,0.0
Ezri Dax/Garak,0.0,0.0,33.300000000000004,33.300000000000004,33.300000000000004,0.0,0.0
Cox/Kira Nerys,50.0,0.0,50.0,0.0,0.0,0.0,0.0
Julian Bashir/Lieutenant Watley,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Kathryn Janeway/non-cast,25.0,0.0,25.0,25.0,25.0,0.0,0.0
Benjamin Sisko/Tora Ziyal,33.300000000000004,0.0,0.0,33.300000000000004,33.300000000000004,0.0,0.0
Elim Garak/Kaga,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Kaga,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Weyoun,50.0,0.0,50.0,0.0,0.0,0.0,0.0
Lenara Kahn/background Grilka,50.0,0.0,0.0,0.0,50.0,0.0,0.0
Kira Nerys/Miles O'Brien (mentioned),25.0,0.0,25.0,25.0,25.0,0.0,0.0
Skrain Dukat/Vreenak,0.0,0.0,50.0,0.0,50.0,0.0,0.0
Dax/Jadzia Dax,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Deyos/Weyoun,0.0,50.0,0.0,0.0,50.0,0.0,0.0
Luaran/Yelgrun,0.0,50.0,0.0,0.0,50.0,0.0,0.0
Ezri Dax/Skrain Dukat,33.300000000000004,33.300000000000004,33.300000000000004,0.0,0.0,0.0,0.0
Odo/Skrain Dukat,25.0,0.0,25.0,25.0,25.0,0.0,0.0
Elim Garak/Luther Sloan,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren/non-cast,0.0,50.0,50.0,0.0,0.0,0.0,0.0
Jadzia Dax/Jennifer Sisko,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Vash/non-cast,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Borath/Weyoun,25.0,25.0,25.0,0.0,25.0,0.0,0.0
Emergency Medical Hologram Mark II/non-cast,33.300000000000004,0.0,33.300000000000004,33.300000000000004,0.0,0.0,0.0
Throlo Sh'shirros/ToloS | Qolar,33.300000000000004,0.0,33.300000000000004,33.300000000000004,0.0,0.0,0.0
Julianna/non-cast,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004,0.0,0.0
Lantash/Sam Carter,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004,0.0,0.0
Martouf/Sam Carter,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004,0.0,0.0
Iliana Ghemor/Tora Ziyal,33.300000000000004,33.300000000000004,0.0,33.300000000000004,0.0,0.0,0.0
Ezri Dax/Vic Fontaine,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Ezri Dax/Lauren,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Keiko O’Brien/Kira Nerys,50.0,0.0,0.0,0.0,50.0,0.0,0.0
Lela Dax/non-cast,0.0,0.0,0.0,50.0,0.0,0.0,50.0
Prinadora/Rom,0.0,0.0,50.0,0.0,0.0,0.0,50.0
Jake Sisko/Mardah,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004,0.0,0.0
Kira Nerys/Vic Fontaine,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Vislor Turlough/non-cast,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Jean-Luc Picard/non-cast,20.0,20.0,20.0,20.0,20.0,0.0,0.0
Elim Garak/Opaka,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Ishka/Jadzia Dax,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Jennifer Sisko/Miles O'Brien,0.0,0.0,0.0,0.0,100.0,0.0,0.0
William Riker/non-cast,25.0,25.0,25.0,0.0,25.0,0.0,0.0
Bareil Antos/Winn Adami,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Dax/Kira Nerys,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Elim Garak/Keevan,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Sisko/Laira,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004,0.0,0.0
Martok/Sirella,0.0,50.0,50.0,0.0,0.0,0.0,0.0
Ryan Ross/Spencer Smith,25.0,0.0,25.0,0.0,25.0,0.0,25.0
Victoria Asher/non-cast,25.0,0.0,25.0,0.0,25.0,0.0,25.0
