,freeforms
Original title: It was hard to look Casey Biggs in the eye after this,1
Lovers To Enemies,1
OC is a scalie,1
pwp but with like emotions and stuff,1
did I mention aliens?,1
is emotional sadism a thing?,1
and a bit of physical pain too i guess,1
Emotional pain,1
Emotional Infidelity,1
sexy aliens,1
no need to be a fan to read,1
loss of family,1
dealing with grief,1
Occupation,1
Weyoun 7-8 (Star Trek),1
War Crimes,1
Tora Ziyal (Star Trek),1
Seskal (Star Trek),1
Rusot (Star Trek) - Freeform,1
Psychological Trauma,1
Prisoner of War,1
/r/GoneWildAudio,1
Sweet/Hot,1
Romantic Comedy,1
skimpy uniform,1
the prophets are a pain in the ass,1
the mirror universe,1
per usual - things with the Intendant are dubcon,1
episode tag: resurrection,1
Time is Not Linear,1
CW: How the Intendant treats her slaves,1
Bajoran Mythology,1
sexy uniforms,1
when a thief and a major fall in love,1
Uniforms,1
Uniform Kink,1
Threesome - M/M/M,1
Shorts (Clothing),1
Quark learns his lesson,1
Quark is an asshole,1
Moresomes,1
what if it really was him?,1
Light Come Eating,1
Held Down,1
Amnesia,1
T'Kaar is the only character I made up,1
Rom is mentioned,1
Rape Investigation,1
Noodle Incidents with Curzon Dax,1
Morning After,1
Don't Try This At Home,1
DS9 s4e2,1
Alcohol blackout,1
light flogging,1
Solid Odo,1
Objectification Kink,1
Mind reader with bad boundaries,1
Mind reader takes advantage of shameful kinks,1
Darkest Night treat,1
Dark take on Lwaxana Troi,1
some demeaning language (but Dukat likes it),1
Karemma,1
Episode: s04e07 Starship Down,1
Right? Smut? I think it gets a little smutty,1
cameo appearances by Quark Jadzia Jabara and Weyoun,1
cw: mention of rape as a weapon of war,1
Sex in the office,1
Gossip,1
24th century social media,1
Non-Consensual Oral Sex,1
Non-Consensual Drug Use,1
Gang Rape,1
but it works out,1
long standing political traditions,1
beans,1
Sickfic,1
Recommended Viewing: Cabaret,1
Recommended Viewing: Babylon Berlin,1
Murder Mystery,1
Implied/Referenced Rape/Non-con,1
Gratuitous German,1
girl talk,1
security details,1
Shame in Sexual Desires,1
Domestic Bliss,1
Forced Pregnancy,1
Forced Marriage,1
Forced Feminization,1
Forced Crossdressing,1
Discussion of Abortion,1
Body Horror,1
Marriage Proposal,1
Inspired by Art,1
still don't feel bad for odo,1
truth will out,1
half truths,1
guilty feelings,1
afraid of love,1
Processing Trauma,1
Julian is All Heart,1
Crashing Reality,1
VOY s1e1,1
drunk people acting like idiots,1
so is Deputy Talpet (in case anybody knows who that is),1
Infidelity (Sort Of),1
Post-Season/Series 07,1
Post-Dominion War (Star Trek),1
Nightmares,1
Dubcon Trill Threeway,1
partners-in-crime to fake relationship co-conspirators to mutual life-ruiners to hatefuckbuddies,1
POV Multiple,1
POV Benjamin Sisko,1
Getting Back Together,1
Survivor Guilt,1
Episode: s06e19 In The Pale Moonlight,1
Break Up,1
Bittersweet Ending,1
bit of dubious consent for a moment or two,1
Physical and Emotional Pain,1
Identity,1
implied child loss,1
Section 31 (Star Trek),1
life's existential isolation,1
Canon Typical Violence,1
Humor,1
Protectiveness,1
Poetry,1
Passion,1
PADDs,1
Klingon Mating Ritual,1
Inspired by Music,1
I mean Klingon Mating Ritual Deconstructed,1
Delete The Wife,1
minor jadzia dax/worf,1
Chance Meetings,1
quid pro quo,1
Sex on Furniture,1
Masturbation in Shower,1
what's wrong with these people?,1
what's wrong with me?,1
possible PTSD,1
dabo boy Julian,1
Post-Episode: s05e16 Doctor Bashir I Presume,1
Nude Modeling,1
Volan 3,1
i'll add tags as i add chapters,1
i guess?,1
here be smut,1
cardassian/human sex,1
canon adjacent?,1
but i love her,1
but I promise there will be a happy ending eventually,1
Platonic Kira/Odo,1
Julian fucks a Horta,1
"Spoilers for ""The Maquis"" Parts 1 & 2",1
Marc Alaimo's voice is just v sexy ok??,1
Kira is a ball of rage,1
Julian being a good friend,1
I just had a plot pop into my head for a single scene,1
Garak being a tailor,1
Federation runabout field trip,1
idk what this is,1
now I have multiple chapters of...whatever tf this is,1
oral sex (male receiving) implied,1
plz be gentle,1
Illustrations,1
Genetics,1
Gambling,1
Fuck Form,1
Bureaucracy,1
Not Actually Unrequited Love,1
But they think it’s unrequited,1
Bullying,1
Bittersweet,1
yeah yeah I'm a dirty space lizard fucker,1
whatever,1
unlike most of my other shit,1
this actually has a plot lol,1
some sort of AU but I haven't fully decided what kind yet,1
slight AU,1
Speculative Cardassian Xenobiology,1
insecure masculinity,1
Implied Julian Bashir/Elim Garak,1
over the knee spanking,1
distracted sex,1
bored sex,1
Female Dominance,1
Cuckolding,1
Cucking,1
seriously incest ahoy,1
